1599727851297::TouchData - Username: TEST-1; time_ms: 1599727846880; event: Move; X: 365.0; Y: 1042.0; Pressure: 0.6875; Area: 0.11764706; TouchID: 1

1599727851300::TouchData - Username: TEST-1; time_ms: 1599727846880; event: Move; X: 365.0; Y: 1042.0; Pressure: 0.6875; Area: 0.11764706; TouchID: 1

1599727851304::TouchData - Username: TEST-1; time_ms: 1599727846897; event: Move; X: 364.0; Y: 1041.0; Pressure: 0.7375; Area: 0.11764706; TouchID: 1

1599727851308::TouchData - Username: TEST-1; time_ms: 1599727846897; event: Move; X: 363.0; Y: 1040.0; Pressure: 0.75; Area: 0.11764706; TouchID: 1

1599727851311::TouchData - Username: TEST-1; time_ms: 1599727846897; event: Move; X: 362.77118; Y: 1039.7712; Pressure: 0.75; Area: 0.11764706; TouchID: 1

1599727851314::TouchData - Username: TEST-1; time_ms: 1599727846913; event: Move; X: 362.0; Y: 1039.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 1

1599727851318::TouchData - Username: TEST-1; time_ms: 1599727846914; event: Move; X: 361.0; Y: 1038.0; Pressure: 0.7875; Area: 0.11764706; TouchID: 1

1599727851321::TouchData - Username: TEST-1; time_ms: 1599727846914; event: Move; X: 360.76068; Y: 1037.7606; Pressure: 0.7875; Area: 0.11764706; TouchID: 1

1599727851324::TouchData - Username: TEST-1; time_ms: 1599727846930; event: Move; X: 360.0; Y: 1037.0; Pressure: 0.7875; Area: 0.11764706; TouchID: 1

1599727851327::TouchData - Username: TEST-1; time_ms: 1599727846930; event: Move; X: 359.0; Y: 1036.0; Pressure: 0.7875; Area: 0.14705883; TouchID: 1

1599727851331::TouchData - Username: TEST-1; time_ms: 1599727846931; event: Move; X: 358.80222; Y: 1035.8022; Pressure: 0.7875; Area: 0.14705883; TouchID: 1

1599727851335::TouchData - Username: TEST-1; time_ms: 1599727846947; event: Move; X: 358.0; Y: 1035.0; Pressure: 0.7875; Area: 0.11764706; TouchID: 1

1599727851339::TouchData - Username: TEST-1; time_ms: 1599727846947; event: Move; X: 357.0; Y: 1035.0; Pressure: 0.7875; Area: 0.14705883; TouchID: 1

1599727851342::TouchData - Username: TEST-1; time_ms: 1599727846947; event: Move; X: 356.7967; Y: 1035.0; Pressure: 0.7875; Area: 0.14705883; TouchID: 1

1599727851345::TouchData - Username: TEST-1; time_ms: 1599727846963; event: Move; X: 356.0; Y: 1035.0; Pressure: 0.7875; Area: 0.11764706; TouchID: 1

1599727851347::TouchData - Username: TEST-1; time_ms: 1599727846963; event: Move; X: 355.0; Y: 1035.0; Pressure: 0.77500004; Area: 0.11764706; TouchID: 1

1599727851350::TouchData - Username: TEST-1; time_ms: 1599727846964; event: Move; X: 354.83255; Y: 1035.0; Pressure: 0.77500004; Area: 0.11764706; TouchID: 1

1599727851352::TouchData - Username: TEST-1; time_ms: 1599727846985; event: Move; X: 354.0; Y: 1035.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 1

1599727851354::TouchData - Username: TEST-1; time_ms: 1599727846985; event: Move; X: 353.0; Y: 1035.0; Pressure: 0.7375; Area: 0.11764706; TouchID: 1

1599727851357::TouchData - Username: TEST-1; time_ms: 1599727846986; event: Move; X: 352.87955; Y: 1035.0; Pressure: 0.7375; Area: 0.11764706; TouchID: 1

1599727851359::TouchData - Username: TEST-1; time_ms: 1599727846996; event: Move; X: 352.0; Y: 1035.0; Pressure: 0.675; Area: 0.11764706; TouchID: 1

1599727851362::TouchData - Username: TEST-1; time_ms: 1599727846997; event: Move; X: 351.0; Y: 1035.0; Pressure: 0.58750004; Area: 0.11764706; TouchID: 1

1599727851364::TouchData - Username: TEST-1; time_ms: 1599727846997; event: Move; X: 350.89496; Y: 1035.0; Pressure: 0.58750004; Area: 0.11764706; TouchID: 1

1599727851367::TouchData - Username: TEST-1; time_ms: 1599727846998; event: Up; X: 350.89496; Y: 1035.0; Pressure: 0.58750004; Area: 0.11764706; TouchID: 1

1599727851372::TouchData - Username: TEST-1; time_ms: 1599727848068; event: Down; X: 1176.0; Y: 1610.0; Pressure: 0.625; Area: 0.11764706; TouchID: 2

1599727851374::TouchData - Username: TEST-1; time_ms: 1599727848097; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6375; Area: 0.11764706; TouchID: 2

1599727851376::TouchData - Username: TEST-1; time_ms: 1599727848097; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6375; Area: 0.11764706; TouchID: 2

1599727851379::TouchData - Username: TEST-1; time_ms: 1599727848113; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 2

1599727851381::TouchData - Username: TEST-1; time_ms: 1599727848114; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 2

1599727851383::TouchData - Username: TEST-1; time_ms: 1599727848130; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 2

1599727851385::TouchData - Username: TEST-1; time_ms: 1599727848130; event: Move; X: 1176.0; Y: 1610.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 2

