1597763984247::TouchData - Username: test-1; time_ms: 1597763983068; event: Move; X: 759.0; Y: 1314.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 3

1597763984249::TouchData - Username: test-1; time_ms: 1597763983070; event: Up; X: 759.0; Y: 1314.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 3

1597763984251::TouchData - Username: test-1; time_ms: 1597763983376; event: Down; X: 755.0; Y: 1306.0; Pressure: 0.7; Area: 0.11764706; TouchID: 4

1597763984253::TouchData - Username: test-1; time_ms: 83409; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.8125; Area: 0.13235295; TouchID: 4

1597763984256::TouchData - Username: test-1; time_ms: 83410; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.85; Area: 0.14705883; TouchID: 4

1597763984258::TouchData - Username: test-1; time_ms: 1597763983410; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.85; Area: 0.14705883; TouchID: 4

1597763984260::TouchData - Username: test-1; time_ms: 83426; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.8625; Area: 0.14705883; TouchID: 4

1597763984262::TouchData - Username: test-1; time_ms: 83426; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.8875; Area: 0.14705883; TouchID: 4

1597763984265::TouchData - Username: test-1; time_ms: 1597763983426; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.8875; Area: 0.14705883; TouchID: 4

1597763984267::TouchData - Username: test-1; time_ms: 1597763983459; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.875; Area: 0.14705883; TouchID: 4

1597763984269::TouchData - Username: test-1; time_ms: 83476; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.85; Area: 0.14705883; TouchID: 4

1597763984271::TouchData - Username: test-1; time_ms: 83476; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.825; Area: 0.13235295; TouchID: 4

1597763984273::TouchData - Username: test-1; time_ms: 1597763983476; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.825; Area: 0.13235295; TouchID: 4

1597763984275::TouchData - Username: test-1; time_ms: 83493; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.7625; Area: 0.11764706; TouchID: 4

1597763984277::TouchData - Username: test-1; time_ms: 1597763983493; event: Move; X: 755.0; Y: 1306.0; Pressure: 0.675; Area: 0.11764706; TouchID: 4

1597763984279::TouchData - Username: test-1; time_ms: 1597763983494; event: Up; X: 755.0; Y: 1306.0; Pressure: 0.675; Area: 0.11764706; TouchID: 4

1597763984281::TouchData - Username: test-1; time_ms: 1597763983960; event: Down; X: 1171.0; Y: 1897.0; Pressure: 0.575; Area: 0.10294118; TouchID: 5

1597763984283::TouchData - Username: test-1; time_ms: 83993; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6125; Area: 0.10294118; TouchID: 5

1597763984285::TouchData - Username: test-1; time_ms: 83993; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6375; Area: 0.10294118; TouchID: 5

1597763984287::TouchData - Username: test-1; time_ms: 1597763983993; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6375; Area: 0.10294118; TouchID: 5

1597763984289::TouchData - Username: test-1; time_ms: 84009; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 5

1597763984291::TouchData - Username: test-1; time_ms: 1597763984009; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 5

1597763984293::TouchData - Username: test-1; time_ms: 84026; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 5

1597763984295::TouchData - Username: test-1; time_ms: 1597763984026; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6625; Area: 0.11764706; TouchID: 5

1597763984297::TouchData - Username: test-1; time_ms: 84076; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.65000004; Area: 0.11764706; TouchID: 5

1597763984300::TouchData - Username: test-1; time_ms: 84076; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6; Area: 0.11764706; TouchID: 5

1597763984302::TouchData - Username: test-1; time_ms: 1597763984076; event: Move; X: 1171.0; Y: 1897.0; Pressure: 0.6; Area: 0.11764706; TouchID: 5

1597763984304::TouchData - Username: test-1; time_ms: 1597763984078; event: Up; X: 1171.0; Y: 1897.0; Pressure: 0.6; Area: 0.11764706; TouchID: 5

1597763984532::PIN ENTRY FINISHED

1597763984591::Accelerometer - Username: test-2; X: -0.4622388; Y: 5.0630717; Z: 8.4376545; Time: 84589

1597763984594::Gyroscope - Username: test-2; X rotation: -0.1467863; Y rotation: -0.04128121; Z rotation: -0.038980786; Time: 84592

1597763984596::Accelerometer - Username: test-2; X: -0.4622388; Y: 5.087022; Z: 8.3322735; Time: 84594

1597763984599::Gyroscope - Username: test-2; X rotation: 0.0076770405; Y rotation: 0.019971497; Z rotation: 0.02440245; Time: 84597

1597763984601::Accelerometer - Username: test-2; X: -0.31374758; Y: 5.0750465; Z: 8.322693; Time: 84599

1597763984604::Gyroscope - Username: test-2; X rotation: -0.2575738; Y rotation: -0.013051702; Z rotation: -0.1662799; Time: 84602

1597763984606::Accelerometer - Username: test-2; X: -0.36164796; Y: 4.89542; Z: 8.4304695; Time: 84604

1597763984609::Gyroscope - Username: test-2; X rotation: 0.026851801; Y rotation: -0.08602232; Z rotation: -0.03152393; Time: 84607

1597763984737::Accelerometer - Username: test-2; X: -0.29698244; Y: 5.022356; Z: 8.387359; Time: 84735

1597763984740::Gyroscope - Username: test-2; X rotation: 0.08384345; Y rotation: 0.26551494; Z rotation: -0.055492382; Time: 84738

